trial_id,params,mean_selection_score,std_selection_score,mean_val_price_mae,mean_test_price_mae
91,"{""batch_size"": 16, ""dropout"": 0.0954919703997332, ""hidden_size"": 64, ""huber_delta"": 1.2, ""learning_rate"": 0.0004368763054689315, ""loss_type"": ""mse"", ""model_type"": ""lstm"", ""num_layers"": 1, ""weight_decay"": 0.00013281534540136324}",3.542598605155945,1.358420142326855,3.542598605155945,3.6525442600250244
50,"{""batch_size"": 16, ""dropout"": 0.2107818245172277, ""hidden_size"": 64, ""huber_delta"": 1.0, ""learning_rate"": 0.001374520585736943, ""loss_type"": ""huber"", ""model_type"": ""lstm"", ""num_layers"": 2, ""weight_decay"": 0.0001299336747132718}",3.5434020161628723,1.5349125973836972,3.5434020161628723,3.4068207144737244
32,"{""batch_size"": 32, ""dropout"": 0.1252593311133495, ""hidden_size"": 96, ""huber_delta"": 0.8, ""learning_rate"": 0.000774398520658085, ""loss_type"": ""huber"", ""model_type"": ""gru"", ""num_layers"": 1, ""weight_decay"": 5.046203477030484e-05}",3.5452621579170227,1.2393765085949606,3.5452621579170227,3.5831819772720337
28,"{""batch_size"": 32, ""dropout"": 0.21759772209161665, ""hidden_size"": 64, ""huber_delta"": 0.8, ""learning_rate"": 0.0009358014930302485, ""loss_type"": ""mse"", ""model_type"": ""gru"", ""num_layers"": 3, ""weight_decay"": 2.4260778776706674e-05}",3.550642669200897,1.3132371558606255,3.550642669200897,3.565314471721649
24,"{""batch_size"": 16, ""dropout"": 0.14144874403914368, ""hidden_size"": 64, ""huber_delta"": 1.0, ""learning_rate"": 0.0007721460141129115, ""loss_type"": ""huber"", ""model_type"": ""gru"", ""num_layers"": 1, ""weight_decay"": 3.7959247865053135e-05}",3.5534828901290894,1.4153040682137352,3.5534828901290894,3.5079488158226013
5,"{""batch_size"": 32, ""dropout"": 0.1, ""hidden_size"": 64, ""huber_delta"": 1.0, ""learning_rate"": 0.001, ""loss_type"": ""mse"", ""model_type"": ""gru"", ""num_layers"": 2, ""weight_decay"": 0.0001}",3.558928072452545,1.2637501186476137,3.558928072452545,3.6808054447174072
79,"{""batch_size"": 32, ""dropout"": 0.2468895633009347, ""hidden_size"": 128, ""huber_delta"": 1.2, ""learning_rate"": 0.00040477833375757535, ""loss_type"": ""mse"", ""model_type"": ""lstm"", ""num_layers"": 1, ""weight_decay"": 1.8429427624209205e-05}",3.5652581453323364,1.3173112145344659,3.5652581453323364,3.627470314502716
93,"{""batch_size"": 32, ""dropout"": 0.15786820564206766, ""hidden_size"": 128, ""huber_delta"": 1.0, ""learning_rate"": 0.0007128744096535385, ""loss_type"": ""huber"", ""model_type"": ""gru"", ""num_layers"": 1, ""weight_decay"": 1.0207420095997367e-05}",3.565735638141632,1.261307234899837,3.565735638141632,3.5336517095565796
59,"{""batch_size"": 24, ""dropout"": 0.073811523100343, ""hidden_size"": 128, ""huber_delta"": 1.2, ""learning_rate"": 0.0005469644036504153, ""loss_type"": ""mse"", ""model_type"": ""lstm"", ""num_layers"": 2, ""weight_decay"": 1.0928724945039059e-05}",3.5662989616394043,1.3570685169928234,3.5662989616394043,3.6821795105934143
3,"{""batch_size"": 24, ""dropout"": 0.12, ""hidden_size"": 80, ""huber_delta"": 1.0, ""learning_rate"": 0.0009, ""loss_type"": ""mse"", ""model_type"": ""lstm"", ""num_layers"": 2, ""weight_decay"": 0.00012}",3.5683377981185913,1.1223686058856468,3.5683377981185913,3.7529367804527283
57,"{""batch_size"": 24, ""dropout"": 0.14792371395194281, ""hidden_size"": 128, ""huber_delta"": 1.2, ""learning_rate"": 0.0006188231526731191, ""loss_type"": ""huber"", ""model_type"": ""gru"", ""num_layers"": 3, ""weight_decay"": 0.00021600306415013964}",3.5720431804656982,1.3799325005463383,3.5720431804656982,3.6243351697921753
53,"{""batch_size"": 24, ""dropout"": 0.12, ""hidden_size"": 80, ""huber_delta"": 1.0, ""learning_rate"": 0.0009, ""loss_type"": ""mse"", ""model_type"": ""lstm"", ""num_layers"": 2, ""weight_decay"": 0.00012}",3.5739047527313232,1.3869633868944597,3.5739047527313232,3.701869010925293
42,"{""batch_size"": 16, ""dropout"": 0.2727775090264527, ""hidden_size"": 80, ""huber_delta"": 1.5, ""learning_rate"": 0.0005035298052134747, ""loss_type"": ""huber"", ""model_type"": ""gru"", ""num_layers"": 1, ""weight_decay"": 1.5306032146346466e-05}",3.57401180267334,1.3837549273989083,3.57401180267334,3.5164618492126465
81,"{""batch_size"": 24, ""dropout"": 0.2613857974694611, ""hidden_size"": 128, ""huber_delta"": 0.8, ""learning_rate"": 0.0005983375838272856, ""loss_type"": ""mse"", ""model_type"": ""gru"", ""num_layers"": 2, ""weight_decay"": 2.368967782306561e-05}",3.5749430656433105,1.4348951996165953,3.5749430656433105,3.513245165348053
85,"{""batch_size"": 16, ""dropout"": 0.25429586931255754, ""hidden_size"": 128, ""huber_delta"": 1.0, ""learning_rate"": 0.000932945670442698, ""loss_type"": ""huber"", ""model_type"": ""gru"", ""num_layers"": 2, ""weight_decay"": 0.00010732930256274908}",3.5772705078125,1.5711210882688496,3.5772705078125,3.694965124130249
