epoch,train_loss,val_loss
1,0.9868074655532837,0.3493717312812805
2,0.9181689202785492,0.3722134679555893
3,0.8842736721038819,0.4501483142375946
4,0.8153508067131042,0.3623405992984772
5,0.7689989924430847,0.2851046025753021
6,0.6736692056059838,0.3551008701324463
7,0.6752228230237961,0.20389241725206375
8,0.6296749383211135,0.1565411239862442
9,0.5961541026830673,0.2567371428012848
10,0.5363433681428432,0.22421551495790482
11,0.5220790736377239,0.13740583509206772
12,0.5104450672864914,0.1485334262251854
13,0.5192945830523967,0.10822230391204357
14,0.4674523875117302,0.6015579998493195
15,0.4431606218218803,0.4068063646554947
16,0.3670902084559202,0.12255168333649635
17,0.38324407711625097,0.7461818158626556
18,0.37140371799468996,0.10548903048038483
19,0.37023335248231887,0.17530492693185806
20,0.3126743068918586,0.4442056864500046
21,0.2659225258976221,0.24535126239061356
22,0.2551489520817995,0.2657192498445511
23,0.20294843912124633,0.2540819123387337
24,0.16143336724489926,0.17598453164100647
25,0.09555766806006431,0.1948218047618866
26,0.11020130589604378,0.22229593619704247
27,0.09663165844976902,0.21066800132393837
28,0.09776442497968674,0.22461245954036713
29,0.0674785055220127,0.2205270193517208
30,0.06407862976193428,0.2621333599090576
