epoch,train_loss,val_loss
1,0.35501754879951475,0.24664199352264404
2,0.4637908905744553,0.2689460515975952
3,0.3030393809080124,0.2939731776714325
4,0.3486614614725113,0.32041072845458984
5,0.25615285858511927,0.33459872007369995
6,0.4017341673374176,0.342652291059494
7,0.3298093557357788,0.3559577763080597
8,0.27394323945045473,0.3545442223548889
9,0.21594974901527167,0.3586623966693878
10,0.24261574745178222,0.365115225315094
11,0.20881381258368492,0.37860652804374695
12,0.20841057524085044,0.37532347440719604
13,0.31183764040470124,0.37255099415779114
