fold,train_n,val_n,test_n,best_trial_id,feature_count,price_change_t1_mae,price_change_t1_rmse,price_change_t1_r2,price_change_t1_direction_acc,price_change_t1_mean_error
1,98,20,20,90,76,4.180757848345638,4.324357253573975,-0.17830925771440964,0.25,-1.667236567973123
2,118,20,20,17,76,2.88047825418771,3.307735064406569,0.10574300653953317,0.55,0.9728914918786359
3,138,20,20,94,76,2.622255928767845,3.0010628655157485,0.24527805395181534,0.6,-0.44912329348735514
4,158,20,20,58,76,4.619493449293077,5.945802884996465,-0.629937874316969,0.5,3.714124676398933
