epoch,train_loss,val_loss
1,0.9830517172813416,1.182079553604126
2,1.004740059375763,1.1831586360931396
3,0.9654801289240519,1.1755130290985107
4,0.985114723443985,1.1460429430007935
5,0.9628957112630209,1.1323864459991455
6,0.9185138841470083,1.07755708694458
7,0.8785523076852163,1.0111956596374512
8,0.8618221978346506,0.9467923045158386
9,0.832712322473526,0.9015043377876282
10,0.8071167270342509,0.8951227068901062
11,0.8098399490118027,0.939673900604248
12,0.756429006656011,1.0308406352996826
13,0.7415637026230494,1.0535081624984741
14,0.7359389762083689,1.0633774995803833
15,0.7459598233302435,1.0869348049163818
16,0.7186729510625204,1.1345744132995605
17,0.7248428960641226,1.1498826742172241
18,0.6682468752066294,1.1803245544433594
19,0.6517194708188375,1.215090036392212
20,0.6483615140120188,1.2780201435089111
21,0.6303059359391531,1.3342456817626953
22,0.6143267303705215,1.316347360610962
