epoch,train_loss,val_loss
1,1.0054156929254532,1.2069903016090393
2,0.9036404873643603,1.5201297998428345
3,0.8495045240436282,1.7412171363830566
4,0.8089229613542557,1.6149924397468567
5,0.7615076175757817,1.6228891611099243
6,0.7424219495483807,1.6546249985694885
7,0.7087020490850721,1.71939355134964
8,0.6332144471151488,1.7887297868728638
9,0.5985999171222959,1.5485297441482544
10,0.5926060942666871,1.6200855374336243
11,0.5846400463155338,1.6334854364395142
12,0.5667065743889127,1.5909206867218018
13,0.5294278210827282,1.4567325711250305
